"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 11:13:19 WAT 2023","Fri Dec 01 11:13:22 WAT 2023","2395","Contact management","Lists","","","","Get all the contacts",""
"passed","Fri Dec 01 11:12:31 WAT 2023","Fri Dec 01 11:12:34 WAT 2023","2332","Marketing","WhatsApp Campaigns","","","","Update a WhatsApp campaign",""
"passed","Fri Dec 01 11:20:04 WAT 2023","Fri Dec 01 11:20:09 WAT 2023","5394","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Fri Dec 01 11:15:39 WAT 2023","Fri Dec 01 11:15:41 WAT 2023","2362","Accounts and settings","Domains","","","","Authenticate a domain",""
"passed","Fri Dec 01 11:11:51 WAT 2023","Fri Dec 01 11:11:53 WAT 2023","2413","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"passed","Fri Dec 01 11:24:15 WAT 2023","Fri Dec 01 11:24:17 WAT 2023","2339","Accounts and settings","Corporate","","","","Create a new sub-account under a master account.",""
"failed","Fri Dec 01 11:22:02 WAT 2023","Fri Dec 01 11:22:04 WAT 2023","2389","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Fri Dec 01 11:14:02 WAT 2023","Fri Dec 01 11:14:05 WAT 2023","2501","Accounts and settings","Webhooks","","","","Create a webhook",""
"passed","Fri Dec 01 11:25:07 WAT 2023","Fri Dec 01 11:25:09 WAT 2023","2415","Accounts and settings","User","","","","Send invitation to user",""
"passed","Fri Dec 01 11:23:12 WAT 2023","Fri Dec 01 11:23:15 WAT 2023","2327","Contact management","Attributes","","","","Delete an attribute",""
"passed","Fri Dec 01 11:24:05 WAT 2023","Fri Dec 01 11:24:08 WAT 2023","2413","Accounts and settings","Process","","","","Return all the processes for your account",""
"passed","Fri Dec 01 11:16:44 WAT 2023","Fri Dec 01 11:16:47 WAT 2023","2814","Sales CRM","Tasks","","","","Get a task",""
"passed","Fri Dec 01 11:25:02 WAT 2023","Fri Dec 01 11:25:05 WAT 2023","2441","Accounts and settings","User","","","","Revoke user permission",""
"failed","Fri Dec 01 11:11:24 WAT 2023","Fri Dec 01 11:11:27 WAT 2023","2612","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Fri Dec 01 11:11:18 WAT 2023","Fri Dec 01 11:11:24 WAT 2023","5466","Transactional","WhatsApp Transactional","","","","Get all your WhatsApp activity (unaggregated events) Copy",""
"passed","Fri Dec 01 11:13:55 WAT 2023","Fri Dec 01 11:13:58 WAT 2023","2370","Contact management","Attributes","","","","Create contact attribute",""
"passed","Fri Dec 01 11:19:14 WAT 2023","Fri Dec 01 11:19:20 WAT 2023","5650","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Fri Dec 01 11:14:59 WAT 2023","Fri Dec 01 11:15:02 WAT 2023","2317","Accounts and settings","Corporate","","","","Create a new sub-account under a master account.",""
